,STAT_CAUSE_DESCR
211288,Lightning
211289,Lightning
211290,Lightning
211291,Equipment Use
211292,Lightning
211293,Lightning
211294,Lightning
211295,Lightning
211296,Lightning
211297,Lightning
211298,Lightning
211299,Lightning
211300,Lightning
211301,Lightning
211302,Campfire
211303,Lightning
211304,Lightning
211305,Lightning
211306,Campfire
211307,Equipment Use
211308,Lightning
211309,Lightning
211310,Lightning
211311,Lightning
211312,Lightning
211313,Lightning
211314,Lightning
211315,Arson
211316,Lightning
211317,Lightning
211318,Lightning
211319,Lightning
211320,Lightning
211321,Lightning
211322,Lightning
211323,Lightning
211324,Lightning
211325,Campfire
211326,Lightning
211327,Lightning
211328,Lightning
211329,Lightning
211330,Lightning
211331,Lightning
211332,Lightning
211333,Lightning
211334,Campfire
211335,Campfire
211336,Lightning
211337,Lightning
211338,Lightning
211339,Lightning
211340,Lightning
211341,Lightning
211342,Lightning
211343,Lightning
211344,Lightning
211345,Smoking
211346,Lightning
211347,Miscellaneous
211348,Lightning
211349,Miscellaneous
211350,Lightning
211351,Lightning
211352,Campfire
211353,Miscellaneous
211354,Lightning
211355,Lightning
211356,Lightning
211357,Lightning
211358,Lightning
211359,Lightning
211360,Lightning
211361,Lightning
211362,Lightning
211363,Lightning
211364,Campfire
211365,Lightning
211366,Lightning
211367,Lightning
211368,Lightning
211369,Campfire
211370,Lightning
211371,Lightning
211372,Lightning
211373,Lightning
211374,Lightning
211375,Lightning
211376,Lightning
211377,Lightning
211378,Lightning
211379,Lightning
211380,Lightning
211381,Lightning
211382,Lightning
211383,Lightning
211384,Lightning
211385,Lightning
211386,Lightning
211387,Lightning
211388,Lightning
211389,Lightning
211390,Lightning
211391,Lightning
211392,Campfire
211393,Lightning
211394,Lightning
211395,Lightning
211396,Lightning
211397,Lightning
211398,Lightning
211399,Missing/Undefined
211400,Lightning
211401,Lightning
211402,Lightning
211403,Smoking
211404,Lightning
211405,Lightning
211406,Lightning
211407,Lightning
211408,Lightning
211409,Lightning
211410,Lightning
211411,Lightning
211412,Lightning
211413,Lightning
211414,Lightning
211415,Lightning
211416,Campfire
211417,Miscellaneous
211418,Miscellaneous
211419,Campfire
211420,Lightning
211421,Lightning
211422,Debris Burning
211423,Miscellaneous
211424,Campfire
211425,Campfire
211426,Campfire
211427,Debris Burning
211428,Campfire
211429,Children
211430,Arson
211431,Children
211432,Arson
211433,Arson
211434,Miscellaneous
211435,Lightning
211436,Campfire
211437,Lightning
211438,Lightning
211439,Children
211440,Arson
211441,Debris Burning
211442,Debris Burning
211443,Lightning
211444,Campfire
211445,Arson
211446,Campfire
211447,Miscellaneous
211448,Miscellaneous
211449,Campfire
211450,Arson
211451,Lightning
211452,Lightning
211453,Lightning
211454,Campfire
211455,Lightning
211456,Lightning
211457,Lightning
211458,Lightning
211459,Lightning
211460,Lightning
211461,Lightning
211462,Lightning
211463,Lightning
211464,Lightning
211465,Lightning
211466,Lightning
211467,Lightning
211468,Lightning
211469,Lightning
211470,Lightning
211471,Lightning
211472,Miscellaneous
211473,Lightning
211474,Miscellaneous
211475,Lightning
211476,Lightning
211477,Lightning
211478,Lightning
211479,Campfire
211480,Campfire
211481,Lightning
211482,Lightning
211483,Campfire
211484,Lightning
211485,Campfire
211486,Campfire
211487,Campfire
